Year,Section,Category,applicants_n,accepted_n,note,source
2018,SEXUAL ORIENTATION,Gay man,83,21,,equalopps_workbook
2018,SEXUAL ORIENTATION,Gay woman/lesbian,65,14,,equalopps_workbook
2018,SEXUAL ORIENTATION,Heterosexual/straight,3263,498,,equalopps_workbook
2018,SEXUAL ORIENTATION,Other sexual orientation,19,,,equalopps_workbook
2018,SEXUAL ORIENTATION,Prefer not to say,164,32,,equalopps_workbook
2019,SEXUAL ORIENTATION,Bisexual,227,39,,equalopps_workbook
2019,SEXUAL ORIENTATION,Gay man,78,10,,equalopps_workbook
2019,SEXUAL ORIENTATION,Gay woman/lesbian,60,13,,equalopps_workbook
2019,SEXUAL ORIENTATION,Heterosexual/straight,3364,511,,equalopps_workbook
2019,SEXUAL ORIENTATION,Other sexual orientation,19,9,,equalopps_workbook
2019,SEXUAL ORIENTATION,Prefer not to say,177,25,,equalopps_workbook
2020,SEXUAL ORIENTATION,Bisexual,263,62,,equalopps_workbook
2020,SEXUAL ORIENTATION,Gay man,89,21,,equalopps_workbook
2020,SEXUAL ORIENTATION,Gay woman/lesbian,68,14,,equalopps_workbook
2020,SEXUAL ORIENTATION,Heterosexual/straight,3449,611,,equalopps_workbook
2020,SEXUAL ORIENTATION,Other sexual orientation,22,,,equalopps_workbook
2020,SEXUAL ORIENTATION,Prefer not to say,208,54,,equalopps_workbook
2021,SEXUAL ORIENTATION,Bisexual,318,79,,equalopps_workbook
2021,SEXUAL ORIENTATION,Gay man,86,22,,equalopps_workbook
2021,SEXUAL ORIENTATION,Gay woman/lesbian,76,21,,equalopps_workbook
2021,SEXUAL ORIENTATION,Heterosexual/straight,3682,801,,equalopps_workbook
2021,SEXUAL ORIENTATION,Other sexual orientation,41,10,,equalopps_workbook
2021,SEXUAL ORIENTATION,Prefer not to say,217,52,,equalopps_workbook
2022,SEXUAL ORIENTATION,Bisexual,508,140,,equalopps_workbook
2022,SEXUAL ORIENTATION,Gay man,100,26,,equalopps_workbook
2022,SEXUAL ORIENTATION,Gay woman/lesbian,89,27,,equalopps_workbook
2022,SEXUAL ORIENTATION,Heterosexual/straight,3527,857,,equalopps_workbook
2022,SEXUAL ORIENTATION,Other sexual orientation,65,22,,equalopps_workbook
2022,SEXUAL ORIENTATION,Prefer not to say,235,63,,equalopps_workbook
2023,SEXUAL ORIENTATION,Bisexual,642,181,,equalopps_workbook
2023,SEXUAL ORIENTATION,Gay man,121,27,,equalopps_workbook
2023,SEXUAL ORIENTATION,Gay woman/lesbian,94,30,,equalopps_workbook
2023,SEXUAL ORIENTATION,Heterosexual/straight,3716,838,,equalopps_workbook
2023,SEXUAL ORIENTATION,Other sexual orientation,85,26,,equalopps_workbook
2023,SEXUAL ORIENTATION,Prefer not to say,332,79,,equalopps_workbook
2024,SEXUAL ORIENTATION,Bisexual,713,178,,equalopps_workbook
2024,SEXUAL ORIENTATION,Gay man,133,38,,equalopps_workbook
2024,SEXUAL ORIENTATION,Gay woman/lesbian,109,31,,equalopps_workbook
2024,SEXUAL ORIENTATION,Heterosexual/straight,4170,805,,equalopps_workbook
2024,SEXUAL ORIENTATION,Other sexual orientation,100,22,,equalopps_workbook
2024,SEXUAL ORIENTATION,Prefer not to say,378,80,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,1053,131,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),228,26,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Quintile 2,344,56,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Quintile 3,468,72,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Quintile 4,599,124,,equalopps_workbook
2015,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),873,173,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,854,101,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),226,31,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Quintile 2,399,70,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Quintile 3,505,90,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Quintile 4,653,103,,equalopps_workbook
2016,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),934,190,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,808,84,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),272,43,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Quintile 2,424,68,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Quintile 3,552,72,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Quintile 4,725,128,,equalopps_workbook
2017,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),999,186,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,719,84,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),300,27,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Quintile 2,421,66,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Quintile 3,559,92,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Quintile 4,764,114,,equalopps_workbook
2018,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1002,206,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,753,71,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),318,37,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Quintile 2,473,71,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Quintile 3,572,82,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Quintile 4,775,135,,equalopps_workbook
2019,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1034,211,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,799,115,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),362,49,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Quintile 2,479,82,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Quintile 3,631,107,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Quintile 4,796,167,,equalopps_workbook
2020,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1032,242,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,832,140,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),376,69,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Quintile 2,567,128,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Quintile 3,708,146,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Quintile 4,867,213,,equalopps_workbook
2021,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1070,289,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,840,177,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),403,77,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Quintile 2,561,138,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Quintile 3,719,194,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Quintile 4,881,235,,equalopps_workbook
2022,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1120,314,,equalopps_workbook
2023,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,1121,212,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2023,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),472,101,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2023,SOCIO-ECONOMIC BACKGROUND,Quintile 2,574,128,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2023,SOCIO-ECONOMIC BACKGROUND,Quintile 3,749,186,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2023,SOCIO-ECONOMIC BACKGROUND,Quintile 4,910,229,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2023,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1164,325,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Prefer not to say or Not applicable,1231,203,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Quintile 1 (lowest participation rate in HE),558,109,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Quintile 2,724,141,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Quintile 3,794,173,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Quintile 4,1027,216,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2024,SOCIO-ECONOMIC BACKGROUND,Quintile 5 (highest participation rate in HE),1269,312,SES POLAR for this year sourced from the Contextual Admissions page,contextual_admissions
2015,TOTALS,TOTALS,3565,582,,equalopps_workbook
2016,TOTALS,TOTALS,3571,585,,equalopps_workbook
2017,TOTALS,TOTALS,3780,581,,equalopps_workbook
2018,TOTALS,TOTALS,3765,589,,equalopps_workbook
2019,TOTALS,TOTALS,3925,607,,equalopps_workbook
2020,TOTALS,TOTALS,4099,762,,equalopps_workbook
2021,TOTALS,TOTALS,4420,985,,equalopps_workbook
2022,TOTALS,TOTALS,4524,1135,,equalopps_workbook
2023,TOTALS,TOTALS,4990,1181,,equalopps_workbook
2024,TOTALS,TOTALS,5603,1154,,equalopps_workbook
